,title,artist,weather,img_src,song_url
0,³²¹Ý±¸,ÆäÆÛÅæ½º (Peppertones),¸¼À½,https://cdnimg.melon.co.kr/cm/album/images/003/11/692/311692_500.jpg/melon/resize/120/quality/80/optimize,https://www.melon.com/song/detail.htm?songId=1055510
1,»ç´Â°Ô ´Ï³ª³ë (ÀÌÁø¾Æ Ver.),ÀÌÁø¾Æ,¸¼À½,https://cdnimg.melon.co.kr/cm/album/images/023/31/521/2331521_500.jpg/melon/resize/120/quality/80/optimize,https://www.melon.com/song/detail.htm?songId=5795122
2,Happy Bubble (CF `ÇÏ¿ìÁ¨ ¹öºí¼Û` ¿ø°î),À©ÅÍÇÃ·¹ÀÌ,¸¼À½,https://cdnimg.melon.co.kr/cm/album/images/004/04/451/404451_500.jpg/melon/resize/120/quality/80/optimize,https://www.melon.com/song/detail.htm?songId=1950649
3,Sweet Step,¿äÁ¶,¸¼À½,https://cdnimg.melon.co.kr/cm/album/images/007/18/083/718083_500.jpg/melon/resize/120/quality/80/optimize,https://www.melon.com/song/detail.htm?songId=2352379
4,"¾Ë·ÎÇÏ, ±âºÐ ÁÁÀº ÀÎ»ç",¿ìÄð·¼·¹ ÇÇÅ©´Ð,¸¼À½,https://cdnimg.melon.co.kr/cm/album/images/013/02/858/1302858_500.jpg/melon/resize/120/quality/80/optimize,https://www.melon.com/song/detail.htm?songId=3436286
5,²áµû¸® »þ¹Ù¶ó (Feat. Å¬·Ð),¾ÆÀÌÀ¯,¸¼À½,https://cdnimg.melon.co.kr/cm/album/images/022/56/290/2256290_500.jpg/melon/resize/120/quality/80/optimize,https://www.melon.com/song/detail.htm?songId=4646588
6,Havana,¾ÆÀÌÀ¯,¸¼À½,https://cdnimg.melon.co.kr/cm/album/images/022/08/448/2208448_500.jpg/melon/resize/120/quality/80/optimize,https://www.melon.com/song/detail.htm?songId=4268440
7,Summer Swing!,¶óÀÌ³Ê½ºÀÇ ´ã¿ä,¸¼À½,https://cdnimg.melon.co.kr/cm/album/images/021/50/081/2150081_500.jpg/melon/resize/120/quality/80/optimize,https://www.melon.com/song/detail.htm?songId=3904372
8,Sunday Afternoon,Mocca,¸¼À½,https://cdnimg.melon.co.kr/cm/album/images/012/19/852/1219852_500.jpg/melon/resize/120/quality/80/optimize,https://www.melon.com/song/detail.htm?songId=3327974
9,Walking Down The Street,The Real Group,¸¼À½,https://cdnimg.melon.co.kr/cm/album/images/000/24/838/24838_500.jpg/melon/resize/120/quality/80/optimize,https://www.melon.com/song/detail.htm?songId=346375
10,Pretty World,Lisa Ono,¸¼À½,https://cdnimg.melon.co.kr/cm/album/images/000/22/162/22162_500.jpg/melon/resize/120/quality/80/optimize,https://www.melon.com/song/detail.htm?songId=288108
11,What Makes You Beautiful,Sabrina,¸¼À½,https://cdnimg.melon.co.kr/cm/album/images/021/65/726/2165726_500.jpg/melon/resize/120/quality/80/optimize,https://www.melon.com/song/detail.htm?songId=3952030
12,Close To You,Olivia Ong,¸¼À½,https://cdnimg.melon.co.kr/cm/album/images/003/60/025/360025_500.jpg/melon/resize/120/quality/80/optimize,https://www.melon.com/song/detail.htm?songId=1756326
13,Put Your Records On,Corinne Bailey Rae,¸¼À½,https://cdnimg.melon.co.kr/cm/album/images/003/46/986/346986_500.jpg/melon/resize/120/quality/80/optimize,https://www.melon.com/song/detail.htm?songId=1590576
14,"Eight, Nine And Ten - (Previously Unreleased)",Peggy Lee,¸¼À½,https://cdnimg.melon.co.kr/cm/album/images/003/14/672/314672_500.jpg/melon/resize/120/quality/80/optimize,https://www.melon.com/song/detail.htm?songId=1119561
15,Sunday Morning (Demo),Maroon 5,¸¼À½,https://cdnimg.melon.co.kr/cm/album/images/021/34/972/2134972_500.jpg/melon/resize/120/quality/80/optimize,https://www.melon.com/song/detail.htm?songId=3843936
16,"Don`t Worry, Be Happy",Bobby McFerrin,¸¼À½,https://cdnimg.melon.co.kr/cm/album/images/003/12/046/312046_500.jpg/melon/resize/120/quality/80/optimize,https://www.melon.com/song/detail.htm?songId=1077959
17,Escape (The Pina Colada Song),Jack Johnson,¸¼À½,https://cdnimg.melon.co.kr/cm/album/images/022/21/859/2221859_500.jpg/melon/resize/120/quality/80/optimize,https://www.melon.com/song/detail.htm?songId=4364352
